timestamp,model,issue_type,severity,rule,message,file,line,status
2026-04-23 18:06:38,chatgpt,CODE_SMELL,CRITICAL,python:S3776,Refactor this function to reduce its Cognitive Complexity from 34 to the 15 allowed.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,1,OPEN
2026-04-23 18:06:38,chatgpt,BUG,MINOR,python:S1226,Introduce a new variable or use its initial value before reassigning 'a'.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,1,OPEN
2026-04-23 18:06:38,chatgpt,BUG,MINOR,python:S1226,Introduce a new variable or use its initial value before reassigning 'c'.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,1,OPEN
2026-04-23 18:06:38,chatgpt,BUG,MINOR,python:S1226,Introduce a new variable or use its initial value before reassigning 'c'.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,1,OPEN
2026-04-23 18:06:38,chatgpt,BUG,MAJOR,python:S1862,This branch duplicates the one on line 3.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,6,OPEN
2026-04-23 18:06:38,chatgpt,CODE_SMELL,MAJOR,python:S108,Either remove or fill this block of code.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,9,OPEN
2026-04-23 18:06:38,chatgpt,CODE_SMELL,CRITICAL,python:S5797,Replace this expression; used as a condition it will always be constant.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,10,OPEN
2026-04-23 18:06:38,chatgpt,CODE_SMELL,CRITICAL,python:S5797,Replace this expression; used as a condition it will always be constant.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,11,OPEN
2026-04-23 18:06:38,chatgpt,CODE_SMELL,MAJOR,python:S1066,Merge this if statement with the enclosing one.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,11,OPEN
2026-04-23 18:06:38,chatgpt,CODE_SMELL,CRITICAL,python:S5797,Replace this expression; used as a condition it will always be constant.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,12,OPEN
2026-04-23 18:06:38,chatgpt,CODE_SMELL,MAJOR,python:S1066,Merge this if statement with the enclosing one.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,12,OPEN
2026-04-23 18:06:38,chatgpt,CODE_SMELL,MAJOR,python:S108,Either remove or fill this block of code.,vibe-pipeline-multi:Outputs/ChatGPT/2026-04-17_183645_app.py,13,OPEN
